"","...1","crime_id","month","reported_by","falls_within","longitude","latitude","location","lsoa_code","lsoa_name","crime_type","last_outcome_category","context"
"27",564,"4e8b5cc963bf95e6e22d4ff0b1d29850fc62b9ceb1ccd74eef81db8c6d920aa3","2019-05","Merseyside Police","Merseyside Police",-2.803138,53.426443,"On or near Supermarket","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
"28",565,"a17d820014abfc5b004530d35484fe39c3c7eb33bd3cf3fcdd614aa173edde50","2019-05","Merseyside Police","Merseyside Police",-2.803138,53.426443,"On or near Supermarket","E01006463","Knowsley 007C","Shoplifting","Court result unavailable",NA
"29",566,"049df7c880372d4d2ff8b9a841a4847de94e147a209c52aad39c9e8d079e0298","2019-05","Merseyside Police","Merseyside Police",-2.805238,53.426078,"On or near Yates' Court","E01006463","Knowsley 007C","Shoplifting","Court result unavailable",NA
"30",567,"bf9f9e6a583c985d674572d5e2966ac38f35ea7091f62ee0ea42a8c8f2f3fa44","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Further investigation is not in the public interest",NA
"31",797,"e46f6541f6a908ff223deff986e5a4b971ce918c19a2b31fc97619b0c9a7f92f","2019-05","Merseyside Police","Merseyside Police",-2.836484,53.423166,"On or near Sports/Recreation Area","E01006445","Knowsley 010E","Shoplifting","Investigation complete; no suspect identified",NA
"32",798,"40ca584bd94223ce170812f9862d1ae38cabfd974c4941c8e7b7284456d8f46f","2019-05","Merseyside Police","Merseyside Police",-2.836484,53.423166,"On or near Sports/Recreation Area","E01006445","Knowsley 010E","Shoplifting","Court result unavailable",NA
"33",799,"577caf838a866959672c95cf3b4e28c28b20799f454c5221f354a7b8d7fd135f","2019-05","Merseyside Police","Merseyside Police",-2.836484,53.423166,"On or near Sports/Recreation Area","E01006445","Knowsley 010E","Shoplifting","Court result unavailable",NA
"34",978,"a8741bcf5957004ee31d3030ba342244c1154052b8dd54bbcc66c8b624e80099","2019-05","Merseyside Police","Merseyside Police",-2.874047,53.406394,"On or near Court Hey Drive","E01006472","Knowsley 014A","Shoplifting","Investigation complete; no suspect identified",NA
"35",1093,"4497b3a9f25763a24df8433657bcb398f39ae3e9f00d15e3737e7f68543bd0dd","2019-05","Merseyside Police","Merseyside Police",-2.839058,53.411742,"On or near Further/Higher Educational Building","E01006481","Knowsley 015E","Shoplifting","Unable to prosecute suspect",NA
"36",1094,"ac36982741e0b958c033726617e0b13ee87f811263de29e929a4092111f1bdb4","2019-05","Merseyside Police","Merseyside Police",-2.839058,53.411742,"On or near Further/Higher Educational Building","E01006481","Knowsley 015E","Shoplifting","Investigation complete; no suspect identified",NA
"37",1095,"e836a2fa09da8590e36f121f98b96720bf0a293aa5b6d59e9d624f894294bc0d","2019-05","Merseyside Police","Merseyside Police",-2.839058,53.411742,"On or near Further/Higher Educational Building","E01006481","Knowsley 015E","Shoplifting","Unable to prosecute suspect",NA
"38",1123,"5a90330fd85c05ecedc494f95c1dbcd3f91025290010f1771711e53c240b50d8","2019-05","Merseyside Police","Merseyside Police",-2.83967,53.410758,"On or near Supermarket","E01006474","Knowsley 016C","Shoplifting","Investigation complete; no suspect identified",NA
"39",1124,"4b80c751855b2e6413c17d40c0e8a29403211954afbbd855fd93c60e404c3df3","2019-05","Merseyside Police","Merseyside Police",-2.83967,53.410758,"On or near Supermarket","E01006474","Knowsley 016C","Shoplifting","Investigation complete; no suspect identified",NA
"40",1125,"1f57734e5d55bdf216cd8a24b4584b5739b9bbdc04352c3e4a4fa4428a23338e","2019-05","Merseyside Police","Merseyside Police",-2.83967,53.410758,"On or near Supermarket","E01006474","Knowsley 016C","Shoplifting","Investigation complete; no suspect identified",NA
"41",1126,"0eba1804f7acb8db1b9d69ed72881673ee78e505631c6f5a47683f76a35da896","2019-05","Merseyside Police","Merseyside Police",-2.83967,53.410758,"On or near Supermarket","E01006474","Knowsley 016C","Shoplifting","Investigation complete; no suspect identified",NA
"42",1143,"38ba1d537768edb421c5388de25e8dad3d88f701cbb0c0478db5a4c5d2a4f91f","2019-05","Merseyside Police","Merseyside Police",-2.847171,53.40817,"On or near Tarbock Road","E01006475","Knowsley 016D","Shoplifting","Investigation complete; no suspect identified",NA
"43",1261,"044be58fba1aec98688f00035c1b898db4423af23e2a9388c01013426006e96f","2019-05","Merseyside Police","Merseyside Police",-2.829467,53.360338,"On or near Cravenwood Road","E01006426","Knowsley 020A","Shoplifting","Investigation complete; no suspect identified",NA
"44",1262,"3a14bf8ad2219044bebaf8030fed113f9476e9410aacadbbafead0bfe44da118","2019-05","Merseyside Police","Merseyside Police",-2.829467,53.360338,"On or near Cravenwood Road","E01006426","Knowsley 020A","Shoplifting","Investigation complete; no suspect identified",NA
"45",1407,"53c9063e6d149b895a238ed9db0234a0eaf465cbedc393b419dbaa260d66e0d4","2019-05","Merseyside Police","Merseyside Police",-2.918078,53.456059,"On or near East Lancashire Road","E01006660","Liverpool 001E","Shoplifting","Investigation complete; no suspect identified",NA
"46",1408,"aad336b76ba8d2d6567acac3b1e605b10a10eafb56229f66df2eeeb12dc956e2","2019-05","Merseyside Police","Merseyside Police",-2.918078,53.456059,"On or near East Lancashire Road","E01006660","Liverpool 001E","Shoplifting","Investigation complete; no suspect identified",NA
"47",1449,"b89277f5037da8d051de15d8efb56cdd4e710f205b054addc2a3896016a0ac10","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"48",1450,"215139742a1ea9fccd9b8dc1c1e7ffc5ab5a998e3f7eb6606b8b8e70d6c82e23","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"49",1451,"5faa323d211f7dbdab36fc0b27939f19d4f6313daebe95246d85c8492c407e58","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"50",1452,"bd82a5c682e04c14437486413780441177289453e0022228f8a182e9d9d3054d","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"51",1453,"1309083f2c2d11701c509b0d1715640ac2b05aba1b0efad3d1d5f65d2ec3bce7","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"52",1454,"d50a0457a3451974b164c6470f195af1321a9620f4bb459fde88e652d1f58fb7","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"53",1455,"9f1e92088f90e5e3345452ff92fa7ee3e8433d5d2cc9edb778350cca093129e8","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"54",1456,"1dc4e1a230a4e78b31adf2bc77980644a4b8fa175988eef69d44ff5f75d03ecd","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"55",1457,"6d8373d0247c9d1e864a25a450c088b407642cdcbb888be7e3a6c7c5e092f4e7","2019-05","Merseyside Police","Merseyside Police",-2.956659,53.464638,"On or near Longmoor Lane","E01006783","Liverpool 002E","Shoplifting","Investigation complete; no suspect identified",NA
"56",1503,"a937640ef3ba11a634ca20a624a3de76bf47a69d4d01a710afebd277ed3ae52e","2019-05","Merseyside Police","Merseyside Police",-2.969003,53.463612,"On or near Victoria Drive","E01006786","Liverpool 003E","Shoplifting","Further investigation is not in the public interest",NA
"57",1512,"ef8dc9d72dbdbcdb96c94a0b1e218f61edc4727c0acff3969965d42469b067bf","2019-05","Merseyside Police","Merseyside Police",-2.896655,53.462119,"On or near Callestock Close","E01006661","Liverpool 004A","Shoplifting","Investigation complete; no suspect identified",NA
"58",1535,"f1d8369616c7dc2cee1960bdfdaf04457d5ab3482c87e4c1dc6877ba821fb88e","2019-05","Merseyside Police","Merseyside Police",-2.899233,53.465093,"On or near Portal Way","E01006663","Liverpool 004C","Shoplifting","Investigation complete; no suspect identified",NA
"59",1536,"d5c5d2249430ec42555e7b66b448d3794791d0f30e3209839680b916abccf570","2019-05","Merseyside Police","Merseyside Police",-2.899233,53.465093,"On or near Portal Way","E01006663","Liverpool 004C","Shoplifting","Investigation complete; no suspect identified",NA
"60",1571,"9dacd320c93163193da6cc77213a15d49cbc4a4528351a3d6a474419b20d89ea","2019-05","Merseyside Police","Merseyside Police",-2.941773,53.469214,"On or near Supermarket","E01006654","Liverpool 005A","Shoplifting","Investigation complete; no suspect identified",NA
"61",1572,"3a391251efa5d1f352d9f1bba785f80b59187f216f0fd088da7d683157289c02","2019-05","Merseyside Police","Merseyside Police",-2.941773,53.469214,"On or near Supermarket","E01006654","Liverpool 005A","Shoplifting","Offender given penalty notice",NA
"62",1764,"233bd5942b1ecd4ca214acdec423fe76c64ae1a82b21d1b369ff261a347dbd32","2019-05","Merseyside Police","Merseyside Police",-2.966867,53.451153,"On or near Hospital","E01006791","Liverpool 006D","Shoplifting","Court result unavailable",NA
"63",1765,"3bc5407c6ea2594a0de5dbfb09289e9da689970e41b216e2c5a15b124d490b58","2019-05","Merseyside Police","Merseyside Police",-2.966867,53.451153,"On or near Hospital","E01006791","Liverpool 006D","Shoplifting","Court result unavailable",NA
"64",1841,"39b451cf18c9d72825d90cacf9ee3caebfa5ef9ede1fec39c78d9c206ced1048","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Offender sent to prison",NA
"65",1842,"ca2b9de264122d0636fde507503612a27d753f4b9711aae26b55d878a17f8f21","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Offender given a caution",NA
"66",1843,"287a9dda7fa3a6ba05ad333cda83425ad93226b6a068ac502cc0a5681b2f48ac","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Unable to prosecute suspect",NA
"67",1844,"6419d24273eff1c1b228bc5fd0a6c9d92172a1a0ffed99686b7a03a3020dc0ae","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Investigation complete; no suspect identified",NA
"68",1845,"b9958c87f8285328a00da13d4b158b026c83ad09ea85e5b36fe0ccce18e73b77","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Further investigation is not in the public interest",NA
"69",1846,"3eb9acf1eaa340b6bfbf1c4a213d7a62813f111d6b92c834e6ac32dae78f0864","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Court result unavailable",NA
"70",1847,"6c3ad1f427abb202b221254cdad186494324875bc0dc1afb5e5a981055c2fe38","2019-05","Merseyside Police","Merseyside Police",-2.93999,53.442388,"On or near Supermarket","E01006612","Liverpool 008B","Shoplifting","Unable to prosecute suspect",NA
"71",2054,"e1d3c1702f82f197614fbe7ee146a0dc8bfa1e8ef0ef337d571b768838d4c18a","2019-05","Merseyside Police","Merseyside Police",-2.927093,53.441248,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Unable to prosecute suspect",NA
"72",2055,"387060e8f287aa0fa0367af9dad1a5d462b86aa6162e1388a61f58d182842f05","2019-05","Merseyside Police","Merseyside Police",-2.928234,53.441095,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Investigation complete; no suspect identified",NA
"73",2056,"aa993e3dc50e75ad4ead92033e257d3c8c91db5e0f3afb188f853c682995bfc0","2019-05","Merseyside Police","Merseyside Police",-2.928234,53.441095,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Unable to prosecute suspect",NA
"74",2057,"4c83ab5f1bab2c6b7439e29f6998f0ff1a7f6149afa82a2b5ff00f6570d7c310","2019-05","Merseyside Police","Merseyside Police",-2.928234,53.441095,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Investigation complete; no suspect identified",NA
"75",2058,"b627215ef65c4bb7310982c89bc3968ee02b6c39770f5c54b8d2f2cbb9cd38af","2019-05","Merseyside Police","Merseyside Police",-2.928234,53.441095,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Investigation complete; no suspect identified",NA
"76",2059,"555af8f95374d3ff0b4686e5d3247e8e524e1d20ba772a07e8bb6502f3223f72","2019-05","Merseyside Police","Merseyside Police",-2.928234,53.441095,"On or near Supermarket","E01033759","Liverpool 010F","Shoplifting","Investigation complete; no suspect identified",NA
"77",2149,"09aae70eb87331da5838a3bebf70795a7488a256296d971e8f25708dde1274f7","2019-05","Merseyside Police","Merseyside Police",-2.969177,53.440195,"On or near Nimrod Street","E01006611","Liverpool 012A","Shoplifting","Investigation complete; no suspect identified",NA
"78",2150,"26fcfd5aac7ee4971189dafea35b9338ff58456e1ca020093757106c2991b1a2","2019-05","Merseyside Police","Merseyside Police",-2.9694,53.442027,"On or near Supermarket","E01006611","Liverpool 012A","Shoplifting","Court result unavailable",NA
"79",2264,"b26728922ea7bd2305d4d4b2aa84678124b243c3f6651ab0bf772dfba1374ee2","2019-05","Merseyside Police","Merseyside Police",-2.971635,53.437074,"On or near Springfield Square","E01006700","Liverpool 012E","Shoplifting","Unable to prosecute suspect",NA
"80",2285,"832d680fe00adfdb1b9ff5fce48bfa6003cab9f39509e7af7108964a40c482a3","2019-05","Merseyside Police","Merseyside Police",-2.889423,53.435359,"On or near Ciaran Close","E01006624","Liverpool 013B","Shoplifting","Investigation complete; no suspect identified",NA
"81",2286,"f5da7c296ded55c09fc005c00293bddd7d61fc55efcc7e36b5db4b56a47d3789","2019-05","Merseyside Police","Merseyside Police",-2.889423,53.435359,"On or near Ciaran Close","E01006624","Liverpool 013B","Shoplifting","Investigation complete; no suspect identified",NA
"82",2520,"cdfa0b2fc579aa502a7b30d4c0521621f8ba9ce6bddbd16bc0c81f8abe97793f","2019-05","Merseyside Police","Merseyside Police",-2.944233,53.437518,"On or near Warner Drive","E01006616","Liverpool 015D","Shoplifting","Investigation complete; no suspect identified",NA
"83",2603,"3e2fc013c2fb6960a44e56dd4b2f5e5a50eb5f5fab30bfdd97e14fec16d70448","2019-05","Merseyside Police","Merseyside Police",-2.873699,53.428338,"On or near Hospital","E01006637","Liverpool 017A","Shoplifting","Investigation complete; no suspect identified",NA
"84",2782,"1f9423c20fd899740768e426f2ed3a229b4d216d3a5b953b9c1bd48c3316eb2e","2019-05","Merseyside Police","Merseyside Police",-2.958897,53.428898,"On or near Houlding Street","E01006546","Liverpool 019B","Shoplifting","Investigation complete; no suspect identified",NA
"85",2924,"d3fce6e9bc5042ea6145cfe60037609c55dd4f61e9a9b576015d1cb54ac6d191","2019-05","Merseyside Police","Merseyside Police",-2.934492,53.431995,"On or near Londonderry Road","E01006606","Liverpool 020A","Shoplifting","Investigation complete; no suspect identified",NA
"86",2956,"851f6744cc682b11fb924f9c6111ce88cf358579fcc08da22bc2ba67a1ffb030","2019-05","Merseyside Police","Merseyside Police",-2.929746,53.425542,"On or near Supermarket","E01006761","Liverpool 020B","Shoplifting","Investigation complete; no suspect identified",NA
"87",2957,"6a9cf1761b9296e4ed2e75ef9ce71baf705652d94e53733f1272334381426f67","2019-05","Merseyside Police","Merseyside Police",-2.929746,53.425542,"On or near Supermarket","E01006761","Liverpool 020B","Shoplifting","Investigation complete; no suspect identified",NA
"88",2958,"948eed7a006edfbe1d69d33c69bc3939cb9b89eb07a1acae73348f5cda683fd1","2019-05","Merseyside Police","Merseyside Police",-2.93608,53.423425,"On or near Police Station","E01006761","Liverpool 020B","Shoplifting","Investigation complete; no suspect identified",NA
"89",2984,"3320061894f3bf9f56a6408fbf82748db7b86c1e9b5a2a6baefda0c37e1eb86b","2019-05","Merseyside Police","Merseyside Police",-2.931032,53.425181,"On or near Supermarket","E01006764","Liverpool 020D","Shoplifting","Investigation complete; no suspect identified",NA
"90",3037,"bb0a89d8a1fab209b93c0b3045024467e50630f597de206129312c1b3b1f172d","2019-05","Merseyside Police","Merseyside Police",-2.910353,53.432846,"On or near West Derby Village","E01006617","Liverpool 021A","Shoplifting","Investigation complete; no suspect identified",NA
"91",3038,"fe686f9c17a9a02e68022e31fdc1b7a8ed7b0d68b6a5d0cd2eb8adb27af19c97","2019-05","Merseyside Police","Merseyside Police",-2.910353,53.432846,"On or near West Derby Village","E01006617","Liverpool 021A","Shoplifting","Investigation complete; no suspect identified",NA
"92",3054,"b6e26ce714fd735445a5610c1912d4922d94eecc4aaabfcc48fc5ff44d57ac7e","2019-05","Merseyside Police","Merseyside Police",-2.902039,53.428361,"On or near Supermarket","E01006619","Liverpool 021B","Shoplifting","Investigation complete; no suspect identified",NA
"93",3055,"ab2df17ee1ca8828692163845d3f30d52df26dbf66e91a82611865251e27d1ac","2019-05","Merseyside Police","Merseyside Police",-2.902039,53.428361,"On or near Supermarket","E01006619","Liverpool 021B","Shoplifting","Investigation complete; no suspect identified",NA
"94",3056,"7c4d28b3d1b5948455b421ac391d655de6bbe1d1b8ab174a47b1eb53ffc08259","2019-05","Merseyside Police","Merseyside Police",-2.902039,53.428361,"On or near Supermarket","E01006619","Liverpool 021B","Shoplifting","Unable to prosecute suspect",NA
"95",3187,"71cae187e816e0caab4ff2a66ccd872b7c86a6d9455934ef5b2a9ec4fe3bfe0a","2019-05","Merseyside Police","Merseyside Police",-2.978842,53.422498,"On or near Parking Area","E01033764","Liverpool 022E","Shoplifting","Investigation complete; no suspect identified",NA
"96",3188,"e79ea8b0c56f6d4d6a61ec3afdc126fd1c3f6643b637ce2675e25b82b107dbb8","2019-05","Merseyside Police","Merseyside Police",-2.978842,53.422498,"On or near Parking Area","E01033764","Liverpool 022E","Shoplifting","Investigation complete; no suspect identified",NA
"97",3189,"27cf36519ffb0777cf6849a9c85d47a14ede888ada8b308d6946a580288ba7ad","2019-05","Merseyside Police","Merseyside Police",-2.978842,53.422498,"On or near Parking Area","E01033764","Liverpool 022E","Shoplifting","Investigation complete; no suspect identified",NA
"98",3334,"0fc7e473f410be154106c8a18b30fc61a60c4b3d09a79287a9963ccbd543eddd","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"99",3335,"649fe7b436c98d8f9ec6723703fe579e4485f68ad5eeb5a0c1daadda18551e16","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Further investigation is not in the public interest",NA
"100",3336,"b2de060f8032b9e1f4ebd17d4e63fab68bc04558648071df835c896876cbde8a","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"101",3337,"fd92e99c48ebd9096cce86eca31043b3186ab63e421942e50f85e9c0bae57ab2","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"102",3338,"b7dbabc6d863f0b1ab4f3ad54224f1ea3413444773adba1d6457b71e39188c5e","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Unable to prosecute suspect",NA
"103",3339,"bfa4069b66b95741e24fdbac70a0a9f2e1fb69bd7b9181569c6c7a6752cf7fac","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"104",3340,"ce5868fb11c537c5aa7043d785c669df16237c454e0c4fedce1a8c79a67e1045","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"105",3341,"ebfcdd152109a9ea9469e52999d30e3733dff90431377133d6443c907849c127","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Investigation complete; no suspect identified",NA
"106",3342,"011126dee85af1a2ce905264f9688cbffa2daebe9f828fd3b2e00f1943104721","2019-05","Merseyside Police","Merseyside Police",-2.978382,53.422106,"On or near Great Homer Street","E01006648","Liverpool 023D","Shoplifting","Further investigation is not in the public interest",NA
